File	ID	parentID	status	scientificName	authorship	rank	link
NameUsage_cites3.csv	100064	x33	accepted	Phyllurus championae	Couper, Schneider, Hoskin & Covacevich, 2000	species	https://www.speciesplus.net/species#/taxon_concepts/100064/legal
NameUsage_cites3.csv	100065	x33	accepted	Phyllurus gulbaru	Hoskin, Couper & Schneider, 2003	species	https://www.speciesplus.net/species#/taxon_concepts/100065/legal
NameUsage_cites3.csv	100066	x33	accepted	Phyllurus isis	Couper, Covacevich & Moritz, 1993	species	https://www.speciesplus.net/species#/taxon_concepts/100066/legal
NameUsage_cites3.csv	100067	x33	accepted	Phyllurus kabikabi	Couper, Hamley & Hoskin, 2008	species	https://www.speciesplus.net/species#/taxon_concepts/100067/legal
NameUsage_cites3.csv	100068	x33	accepted	Phyllurus nepthys	Couper, Covacevich & Moritz, 1993	species	https://www.speciesplus.net/species#/taxon_concepts/100068/legal
NameUsage_cites3.csv	100069	x33	accepted	Phyllurus ossa	Couper, Covacevich & Moritz, 1993	species	https://www.speciesplus.net/species#/taxon_concepts/100069/legal
NameUsage_cites3.csv	100070	x33	accepted	Phyllurus pinnaclensis	Hoskin, Bertola & Higgie, 2019	species	https://www.speciesplus.net/species#/taxon_concepts/100070/legal
NameUsage_cites3.csv	100071	x33	accepted	Phyllurus platurus	Shaw, 1790	species	https://www.speciesplus.net/species#/taxon_concepts/100071/legal
NameUsage_cites3.csv	100072	x6S	accepted	Saltuarius cornutus	Ogilby, 1892	species	https://www.speciesplus.net/species#/taxon_concepts/100072/legal
NameUsage_cites3.csv	100073	x6S	accepted	Saltuarius eximius	Hoskin & Couper, 2013	species	https://www.speciesplus.net/species#/taxon_concepts/100073/legal
NameUsage_cites3.csv	100074	x6S	accepted	Saltuarius kateae	Couper, Sadlier, Shea & Worthington-Wilmer, 2008	species	https://www.speciesplus.net/species#/taxon_concepts/100074/legal
NameUsage_cites3.csv	100075	x6S	accepted	Saltuarius moritzi	Couper, Sadlier, Shea & Worthington-Wilmer, 2008	species	https://www.speciesplus.net/species#/taxon_concepts/100075/legal
NameUsage_cites3.csv	100076	x6S	accepted	Saltuarius salebrosus	Covacevich, 1975	species	https://www.speciesplus.net/species#/taxon_concepts/100076/legal
